username,repo name,stars count,repo url
mrdoob,three.js,85674,https://github.com/mrdoob/three.js
libgdx,libgdx,20527,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,19716,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18440,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,14758,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14583,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,13743,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12251,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9390,https://github.com/metafizzy/zdog
CesiumGS,cesium,9292,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8357,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7450,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7213,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,6659,https://github.com/blender/blender
domlysz,BlenderGIS,5639,https://github.com/domlysz/BlenderGIS
openscad,openscad,5037,https://github.com/openscad/openscad
spritejs,spritejs,4981,https://github.com/spritejs/spritejs
google,model-viewer,4778,https://github.com/google/model-viewer
jagenjo,webglstudio.js,4734,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4715,https://github.com/tensorspace-team/tensorspace
