username,repo name,stars count,repo url
public-apis,public-apis,210076,https://github.com/public-apis/public-apis
neovim,neovim,58008,https://github.com/neovim/neovim
tiangolo,fastapi,49924,https://github.com/tiangolo/fastapi
strapi,strapi,48124,https://github.com/strapi/strapi
hoppscotch,hoppscotch,47117,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34536,https://github.com/slatedocs/slate
meilisearch,meilisearch,29597,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,28072,https://github.com/hasura/graphql-engine
ccxt,ccxt,25797,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25649,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25053,https://github.com/YMFE/yapi
encode,django-rest-framework,24189,https://github.com/encode/django-rest-framework
httpie,httpie,23916,https://github.com/httpie/httpie
Kong,insomnia,23653,https://github.com/Kong/insomnia
littlecodersh,ItChat,22479,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20927,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20379,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20058,https://github.com/microsoft/api-guidelines
pubkey,rxdb,18122,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17888,https://github.com/shieldfy/API-Security-Checklist
