username,repo name,stars count,repo url
dotnet,AspNetCore.Docs,10948,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,10640,https://github.com/bitwarden/server
aspnetboilerplate,aspnetboilerplate,10639,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,8656,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7552,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6437,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5428,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5391,https://github.com/RicoSuter/NSwag
smartstore,SmartStoreNET,2495,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2474,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2337,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2248,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2153,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1985,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1457,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1202,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1053,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,643,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,630,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,622,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
