username,repo name,stars count,repo url
ljianshu,Blog,7299,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7159,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5399,https://github.com/developit/unfetch
jquery-form,form,5153,https://github.com/jquery-form/form
olifolkerd,tabulator,4920,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4333,https://github.com/Studio-42/elFinder
ded,reqwest,2921,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2858,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2452,https://github.com/elbywan/wretch
LeaVerou,bliss,2373,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2146,https://github.com/wendux/ajax-hook
noelboss,featherlight,2059,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1812,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1660,https://github.com/ptaoussanis/sente
nette,tracy,1561,https://github.com/nette/tracy
joaomilho,Enterprise,1536,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1415,https://github.com/loadingio/css-spinner
u014427391,jeeplatform,1360,https://github.com/u014427391/jeeplatform
MoOx,pjax,1314,https://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1294,https://github.com/codingforentrepreneurs/eCommerce
