username,repo name,stars count,repo url
jwasham,coding-interview-university,234834,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,157033,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,151938,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,145496,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,79219,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58303,https://github.com/kdn251/interviews
azl397985856,leetcode,49445,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,48027,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,39139,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,31989,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26834,https://github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26702,https://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,26218,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,25998,https://github.com/huihut/interview
TheAlgorithms,JavaScript,22852,https://github.com/TheAlgorithms/JavaScript
keon,algorithms,21631,https://github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,20999,https://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,20155,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,19982,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,16330,https://github.com/AtsushiSakai/PythonRobotics
