username,repo name,stars count,repo url
flutter,flutter,145342,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,95868,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,70899,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,56414,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46540,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,44040,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,42975,https://github.com/Solido/awesome-flutter
square,okhttp,42926,https://github.com/square/okhttp
android,architecture-samples,41535,https://github.com/android/architecture-samples
square,retrofit,40582,https://github.com/square/retrofit
dcloudio,uni-app,37180,https://github.com/dcloudio/uni-app
fastlane,fastlane,35842,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35637,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33229,https://github.com/airbnb/lottie-android
bumptech,glide,33000,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32893,https://github.com/shadowsocks/shadowsocks-android
laurent22,joplin,32249,https://github.com/laurent22/joplin
skylot,jadx,31728,https://github.com/skylot/jadx
Blankj,AndroidUtilCode,31403,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,31348,https://github.com/xitu/gold-miner
