username,repo name,stars count,repo url
justjavac,free-programming-books-zh_CN,95868,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,84072,https://github.com/angular/angular
storybookjs,storybook,74172,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,51863,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48008,https://github.com/ionic-team/ionic-framework
prettier,prettier,43916,https://github.com/prettier/prettier
SheetJS,sheetjs,31369,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,27896,https://github.com/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,25667,https://github.com/angular/angular-cli
angular,components,22981,https://github.com/angular/components
NativeScript,NativeScript,21627,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19927,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,19114,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18122,https://github.com/pubkey/rxdb
handsontable,handsontable,17063,https://github.com/handsontable/handsontable
teambit,bit,15840,https://github.com/teambit/bit
sweetalert2,sweetalert2,15019,https://github.com/sweetalert2/sweetalert2
nrwl,nx,14700,https://github.com/nrwl/nx
linnovate,mean,12161,https://github.com/linnovate/mean
sudheerj,javascript-interview-questions,12096,https://github.com/sudheerj/javascript-interview-questions
