username,repo name,stars count,repo url
ansible,ansible,54707,https://github.com/ansible/ansible
bregman-arie,devops-exercises,30545,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,26167,https://github.com/trailofbits/algo
StreisandEffect,streisand,22855,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,18090,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12928,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11415,https://github.com/ansible/awx
easzlab,kubeasz,8530,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6186,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6140,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,5254,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5254,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,4838,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4700,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4441,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3863,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3576,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3427,https://github.com/ansible-community/molecule
litmuschaos,litmus,3288,https://github.com/litmuschaos/litmus
opendevops-cn,opendevops,3276,https://github.com/opendevops-cn/opendevops
