username,repo name,stars count,repo url
arendst,Tasmota,18408,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13801,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13189,https://github.com/arduino/Arduino
rwaldron,johnny-five,12775,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11568,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10515,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9373,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7924,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7834,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6129,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5824,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5426,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3935,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3725,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3551,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3488,https://github.com/blynkkk/blynk-library
olikraus,u8g2,3347,https://github.com/olikraus/u8g2
NectarJS,nectarjs,3336,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,3275,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2867,https://github.com/Serial-Studio/Serial-Studio
