username,repo name,stars count,repo url
atom,atom,58531,https://github.com/atom/atom
themerdev,themer,4880,https://github.com/themerdev/themer
miniflux,v2,4033,https://github.com/miniflux/v2
nteract,hydrogen,3818,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3743,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2383,https://github.com/atom/teletype
mmcdole,gofeed,1961,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,1873,https://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1511,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1507,https://github.com/Glavin001/atom-beautify
kurtmckee,feedparser,1470,https://github.com/kurtmckee/feedparser
simplepie,simplepie,1459,https://github.com/simplepie/simplepie
ocaml,merlin,1422,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1403,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1338,https://github.com/MagicStack/MagicPython
atom,apm,1258,https://github.com/atom/apm
file-icons,atom,1238,https://github.com/file-icons/atom
kettanaito,atomic-layout,1094,https://github.com/kettanaito/atomic-layout
atom,github,1048,https://github.com/atom/github
fwcd,kotlin-language-server,1025,https://github.com/fwcd/kotlin-language-server
