username,repo name,stars count,repo url
sindresorhus,awesome,221153,https://github.com/sindresorhus/awesome
vinta,awesome-python,143019,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,104182,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,88583,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,79092,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,64618,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,59688,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,56414,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,53384,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,49991,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,46992,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,44040,https://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,43988,https://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,42975,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,42910,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,40937,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,40660,https://github.com/vsouza/awesome-ios
fffaraz,awesome-cpp,40565,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,37047,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35291,https://github.com/dypsilon/frontend-dev-bookmarks
