username,repo name,stars count,repo url
jlevy,the-art-of-command-line,110997,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,61163,https://github.com/nvm-sh/nvm
junegunn,fzf,47229,https://github.com/junegunn/fzf
google,zx,34260,https://github.com/google/zx
dylanaraps,pure-bash-bible,31855,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,30700,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,30018,https://github.com/koalaman/shellcheck
starship,starship,28808,https://github.com/starship/starship
mathiasbynens,dotfiles,28295,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,28226,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24950,https://github.com/alebcay/awesome-shell
withfig,autocomplete,20088,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,19855,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,16241,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15773,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14414,https://github.com/rbenv/rbenv
powerline,powerline,13519,https://github.com/powerline/powerline
shelljs,shelljs,13487,https://github.com/shelljs/shelljs
Bash-it,bash-it,13164,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12957,https://github.com/faressoft/terminalizer
