username,repo name,stars count,repo url
bitcoin,bitcoin,66296,https://github.com/bitcoin/bitcoin
ccxt,ccxt,25797,https://github.com/ccxt/ccxt
freqtrade,freqtrade,19274,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17615,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9884,https://github.com/askmike/gekko
solana-labs,solana,9455,https://github.com/solana-labs/solana
bbfamily,abu,9336,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7147,https://github.com/lbryio/lbry-sdk
dvf,blockchain,7140,https://github.com/dvf/blockchain
lightningnetwork,lnd,6307,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6256,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,5924,https://github.com/spesmilo/electrum
butor,blackbird,5626,https://github.com/butor/blackbird
btcsuite,btcd,4948,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4705,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4422,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4196,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4141,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4088,https://github.com/bisq-network/bisq
coinpride,CryptoList,3843,https://github.com/coinpride/CryptoList
