username,repo name,stars count,repo url
ccxt,ccxt,25797,https://github.com/ccxt/ccxt
discordjs,discord.js,20959,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,19782,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16266,https://github.com/hubotio/hubot
RasaHQ,rasa,14881,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,14650,https://github.com/InstaPy/InstaPy
wechaty,wechaty,13500,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12544,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11928,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,11529,https://github.com/Rapptz/discord.py
leon-ai,leon,11153,https://github.com/leon-ai/leon
howdyai,botkit,10842,https://github.com/howdyai/botkit
botpress,botpress,9875,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9186,https://github.com/sfyc23/EverydayWechat
pedroslopez,whatsapp-web.js,7729,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7135,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6897,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,6880,https://github.com/EZFNDEV/EZFN-Lobbybot
yagop,node-telegram-bot-api,6516,https://github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6145,https://github.com/maxbbraun/trump2cash
