username,repo name,stars count,repo url
CyC2018,CS-Notes,157033,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,78364,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49445,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,40565,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39116,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,31989,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,27852,https://github.com/carbon-language/carbon-lang
huihut,interview,25998,https://github.com/huihut/interview
microsoft,calculator,25676,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,24996,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,21776,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20999,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18778,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18330,https://github.com/ethereum/solidity
doocs,leetcode,17688,https://github.com/doocs/leetcode
microsoft,vcpkg,16794,https://github.com/microsoft/vcpkg
gabime,spdlog,15712,https://github.com/gabime/spdlog
catchorg,Catch2,15607,https://github.com/catchorg/Catch2
AnthonyCalandra,modern-cpp-features,14908,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14758,https://github.com/ssloy/tinyrenderer
