username,repo name,stars count,repo url
Genymobile,scrcpy,70899,https://github.com/Genymobile/scrcpy
neovim,neovim,58008,https://github.com/neovim/neovim
git,git,43665,https://github.com/git/git
obsproject,obs-studio,41887,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,40565,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32302,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,31899,https://github.com/FFmpeg/FFmpeg
vim,vim,28525,https://github.com/vim/vim
curl,curl,26761,https://github.com/curl/curl
huihut,interview,25998,https://github.com/huihut/interview
ggreer,the_silver_searcher,24151,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,20220,https://github.com/pbatard/rufus
mpv-player,mpv,20114,https://github.com/mpv-player/mpv
ruby,ruby,19522,https://github.com/ruby/ruby
ossrs,srs,19233,https://github.com/ossrs/srs
google,flatbuffers,18787,https://github.com/google/flatbuffers
oracle,graal,17514,https://github.com/oracle/graal
radareorg,radare2,16909,https://github.com/radareorg/radare2
microsoft,vcpkg,16794,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,16096,https://github.com/kovidgoyal/kitty
