username,repo name,stars count,repo url
CSSEGISandData,COVID-19,29017,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6896,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6882,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6354,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5412,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3928,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2856,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2409,https://github.com/disease-sh/API
geohot,corona,2265,https://github.com/geohot/corona
WorldHealthOrganization,app,2103,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1863,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1850,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1641,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1599,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1508,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1471,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1372,https://github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,1318,https://github.com/chandrikadeb7/Face-Mask-Detection
pomber,covid19,1228,https://github.com/pomber/covid19
covidpass-org,covidpass,1227,https://github.com/covidpass-org/covidpass
