username,repo name,stars count,repo url
iamadamdev,bypass-paywalls-chrome,29165,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19855,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18946,https://github.com/refined-github/refined-github
darkreader,darkreader,15018,https://github.com/darkreader/darkreader
checkly,headless-recorder,14470,https://github.com/checkly/headless-recorder
unbug,codelf,13144,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,10099,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9694,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9169,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8958,https://github.com/listen1/listen1_chrome_extension
dailydotdev,daily,8504,https://github.com/dailydotdev/daily
appbaseio,dejavu,7919,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7602,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6314,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5579,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5523,https://github.com/AutomaApp/automa
alyssaxuu,omni,5505,https://github.com/alyssaxuu/omni
dessant,buster,5249,https://github.com/dessant/buster
manojVivek,medium-unlimited,4994,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4549,https://github.com/webclipper/web-clipper
