username,repo name,stars count,repo url
ovity,octotree,22189,https://github.com/ovity/octotree
gitpod-io,gitpod,9150,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5564,https://github.com/reviewdog/reviewdog
danger,danger,4930,https://github.com/danger/danger
danger,danger-js,4611,https://github.com/danger/danger-js
joho,awesome-code-review,3588,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2027,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1913,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1909,https://github.com/houndci/hound
mbj,mutant,1856,https://github.com/mbj/mutant
crev-dev,cargo-crev,1728,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1444,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1293,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1219,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1150,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1091,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,851,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,827,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,695,https://github.com/enlightn/enlightn
palantir,policy-bot,532,https://github.com/palantir/policy-bot
