username,repo name,stars count,repo url
ohmyzsh,ohmyzsh,150508,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,47229,https://github.com/junegunn/fzf
sharkdp,bat,37306,https://github.com/sharkdp/bat
sherlock-project,sherlock,35595,https://github.com/sherlock-project/sherlock
google,zx,34260,https://github.com/google/zx
wagoodman,dive,33843,https://github.com/wagoodman/dive
BurntSushi,ripgrep,33378,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,30574,https://github.com/chubin/cheat.sh
cli,cli,29971,https://github.com/cli/cli
jesseduffield,lazygit,29960,https://github.com/jesseduffield/lazygit
spf13,cobra,28756,https://github.com/spf13/cobra
angular,angular-cli,25667,https://github.com/angular/angular-cli
n8n-io,n8n,25660,https://github.com/n8n-io/n8n
alebcay,awesome-shell,24950,https://github.com/alebcay/awesome-shell
sharkdp,fd,24690,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,24323,https://github.com/ibraheemdev/modern-unix
httpie,httpie,23916,https://github.com/httpie/httpie
google,python-fire,23094,https://github.com/google/python-fire
tqdm,tqdm,23000,https://github.com/tqdm/tqdm
vercel,pkg,22018,https://github.com/vercel/pkg
