username,repo name,stars count,repo url
vercel,next.js,93203,https://github.com/vercel/next.js
rust-lang,rust,72463,https://github.com/rust-lang/rust
sveltejs,svelte,62364,https://github.com/sveltejs/svelte
webpack,webpack,61848,https://github.com/webpack/webpack
gatsbyjs,gatsby,53588,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42707,https://github.com/JetBrains/kotlin
babel,babel,41429,https://github.com/babel/babel
parcel-bundler,parcel,41362,https://github.com/parcel-bundler/parcel
evanw,esbuild,33396,https://github.com/evanw/esbuild
vlang,v,30561,https://github.com/vlang/v
markedjs,marked,28354,https://github.com/markedjs/marked
carbon-language,carbon-lang,27852,https://github.com/carbon-language/carbon-lang
swc-project,swc,24006,https://github.com/swc-project/swc
vercel,pkg,22018,https://github.com/vercel/pkg
v8,v8,20228,https://github.com/v8/v8
ziglang,zig,17814,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14611,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13598,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13280,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,12211,https://github.com/RustPython/RustPython
